timestamp: 2021-05-30T12:18:30Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:31Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:33Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:34Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:35Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:36Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:38Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:39Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:40Z, humidity: 30.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:41Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:42Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:43Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:44Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:47Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:49Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:50Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:51Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:52Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:53Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:54Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:55Z, humidity: 29.0 %,  Temperature: 24.7 C`
timestamp: 2021-05-30T12:18:56Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:18:58Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:00Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:01Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:02Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:03Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:04Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:05Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:06Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:07Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:08Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:09Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:10Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:11Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:14Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:15Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:16Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:17Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:18Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:19Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:20Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:21Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:23Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:27Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:28Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:29Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:30Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:31Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:32Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:33Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:34Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:35Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:36Z, humidity: 29.0 %,  Temperature: 24.6 C`
timestamp: 2021-05-30T12:19:38Z, humidity: 29.0 %,  Temperature: 24.6 C`
